account	账户;客户	rekening;akun
redemption	赎回	penebusan
refund	退款	pengembalian dana
registration	注册	pendaftaran
regulation	法规	regulasi;peraturan
reimbursement	报销	penggantian biaya
remittance	汇款	remitansi
remuneration	报酬	remunerasi
rental	租金;出租	sewa
repayment	还款	pelunasan
reputation	声誉	reputasi
requisition	请购;征用	permintaan
reserve	储备;准备金	cadangan
resignation	辞职	pengunduran diri
restructuring	重组	restrukturisasi
retail	零售	ritel;eceran
retainer	聘用定金	uang retainer
revenue	收入;营收	pendapatan
royalty	特许权使用费	royalti
salary	工资	gaji
sanction	制裁;批准	sanksi
scarcity	稀缺	kelangkaan
schedule	进度表;附表	jadwal
scheme	方案;计划	skema
securities	证券	sekuritas
settlement	结算;和解	penyelesaian
shareholder	股东	pemegang saham
shipment	发运;装运	pengiriman
shortage	短缺	kekurangan
signatory	签署方	penandatangan
solvency	偿付能力	solvabilitas
sourcing	寻源;采购	pengadaan sumber
specification	规格	spesifikasi
stakeholder	利益相关方	pemangku kepentingan
standard	标准	standar
startup	初创企业	rintisan
statement	对账单;声明	laporan;pernyataan
stock	库存;股票	stok;saham
storage	仓储	penyimpanan
strategy	战略	strategi
subcontractor	分包商	subkontraktor
subsidiary	子公司	anak perusahaan
subsidy	补贴	subsidi
supplier	供应商	pemasok
supply	供应	pasokan
surcharge	附加费	biaya tambahan
surplus	盈余	surplus
surveillance	监控	pengawasan
syndicate	银团;辛迪加	sindikat
tariff	关税;资费	tarif
taxation	税收	perpajakan
tenant	承租人	penyewa
tender	招标	tender
tenure	任期	masa jabatan
termination	终止;解约	pemutusan
territory	区域;辖区	wilayah
testimonial	客户证言	testimoni
threshold	门槛;临界值	ambang batas
throughput	吞吐量	throughput
trademark	商标	merek dagang
transaction	交易	transaksi
transfer	转让;转账	transfer
transition	过渡	transisi
transparency	透明度	transparansi
treasury	资金管理;国库	tresuri;kas negara
turnover	营业额;人员流动率	omzet;perputaran
underwriting	承销;承保	penjaminan emisi
undertaking	承诺;事业	usaha;janji
valuation	估值	valuasi
variance	差异	varians
vendor	供应商;卖方	vendor
venture	创业项目;合资	usaha;ventura
verification	核实	verifikasi
viability	可行性	kelayakan
voucher	凭证;代金券	voucher
wage	工资	upah
warehouse	仓库	gudang
warranty	保修;质保	garansi
wholesale	批发	grosir
withdrawal	提款;撤回	penarikan
withholding	代扣代缴	pemotongan pajak
workforce	员工队伍	tenaga kerja
workload	工作量	beban kerja
workshop	车间;工作坊	bengkel;lokakarya
yield	收益率	imbal hasil
zoning	区划	zonasi
